,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Profit for the period,,"4,158,095",,"7,651,943"
1,Profit for the period available for ordinary shares,,"3,654,369",,"6,724,961"
2,Weighted-average number of ordinary shares outstanding,,"5,969,783",,"5,969,783"
3,Basic earnings per ordinary share (in Korean won),,612,,"1,127"
4,,,,,
5,(2) Preference shares,,,,
6,,,,,
7,"(In millions of Korean won, thousands of number of shares)",2023.0,,2022.0,
8,,,,,
9,Profit for the period,,"4,158,095",,"7,651,943"
10,Profit for the period available for preference shares,,"503,726",,"926,982"
11,Weighted-average number of preference shares outstanding,,"822,887",,"822,887"
12,Basic earnings per preference share (in Korean won),,612,,"1,127"
