,(In millions of Korean won),Carrying amount,Fair value,Unnamed: 0,Carrying amount.1,Fair value.1
0,,,,,,
1,Financial assets,,,,,
2,Cash and cash equivalents,"8,414,405",(*1),,"3,921,593",(*1)
3,Short-term financial instruments,"1,134",(*1),,137,(*1)
4,Trade receivables,"22,999,363",(*1),,"20,503,223",(*1)
5,Financial assets at fair value through,,,,,
6,other comprehensive income,"1,482,942","1,482,942",,"1,364,325","1,364,325"
7,Financial assets at fair value through,,,,,
8,profit or loss,283,283,,283,283
9,Other(*2),"5,621,772","263,536",,"5,470,355",(*1)
10,Total financial assets,"38,519,899",,,"31,259,916",
11,Financial liabilities,,,,,
12,Trade payables,"12,128,382",(*1),,"8,729,315",(*1)
13,Short-term borrowings,"3,181,693",(*1),,"2,381,512",(*1)
14,Other payables,"17,425,374",(*1),,"18,324,604",(*1)
15,Current portion of long-term liabilities,"174,758","6,888",,"135,753","6,580"
16,- Current portion of long-term borrowings,"168,342",(*3),,"129,525",(*3)
17,- Current portion of debentures,"6,416","6,888",,"6,228","6,580"
18,Debentures,"25,667","29,845",,"24,912","27,845"
19,Long-term borrowings,"10,771,941",(*1)(*3),,"654,979",(*3)
20,Long-term other payables,"4,121,993",(*1),,"2,083,790",(*1)
21,Other,"3,268,660",(*1),,"3,145,473",(*1)
22,Total financial liabilities,"51,098,468",,,"35,480,338",
