,Unnamed: 0,Unnamed: 1,Unnamed: 2,Disposal of,Unnamed: 3,Purchase of
0,,,Sales and,,Purchases,
1,(In millions of,Name of company,,non-current,,non-current
2,,,other,,and other,
3,Korean won),,,assets,,assets
4,,,,,,
5,,"Samsung Display Co., Ltd.","70,280",-,"246,945",-
6,,"Samsung Electronics America, Inc. (SEA)","7,948,315",-,"47,891",-
7,,Samsung Asia Pte. Ltd. (SAPL),25,-,"7,247",-
8,,"Samsung (China) Semiconductor Co., Ltd. (SCS)","26,771","7,746","2,568,002","4,519"
9,,Harman and its subsidiaries(*1),-,-,"16,155",-
10,,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","1,197,919",-,"5,882,577",55
11,,"Samsung (CHINA) Investment Co., Ltd. (SCIC)","3,396,290",-,"2,170",-
12,,"Samsung Semiconductor, Inc. (SSI)","4,462,782",-,"163,588",-
13,,Samsung Austin Semiconductor LLC. (SAS),15,-,"955,210",296
14,,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),-,-,-,-
15,,"Samsung Electronics Vietnam Co., Ltd. (SEV)","752,605",-,"3,777,503",767
16,,Samsung India Electronics Private Ltd. (SIEL),"743,963",-,"1,154,941",-
17,,"Samsung Display Vietnam Co., Ltd. (SDV)","363,141",-,-,-
18,Subsidiaries,Samsung Eletronica da Amazonia Ltda. (SEDA),"368,998",-,"1,548",-
19,,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","2,351,702",-,-,-
20,,"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","116,420",1,"1,227,542",-
21,,"Thai Samsung Electronics Co., Ltd. (TSE)","1,066,940",-,"576,597",-
22,,Samsung Electronics (UK) Ltd. (SEUK),"694,744",-,"28,431",-
23,,Samsung Electronics Europe Logistics B.V. (SELS),"1,280,262",-,"1,682",-
24,,"Samsung International, Inc. (SII)","68,340",-,"1,712,017",-
25,,Samsung Electronics Mexico S.A. De C.V. (SEM),"661,264",-,"1,428",-
26,,"Samsung Display Dongguan Co., Ltd. (SDD)","22,374",-,-,-
27,,Samsung Electronics GmbH (SEG),"931,103",-,"1,690",-
28,,"SEMES Co., Ltd.","3,090",-,"651,390",-
29,,Samsung Electronics Benelux B.V. (SEBN),"967,576",-,387,-
30,,Other,"16,044,657",372,"3,331,760",-
31,,Total,"43,539,576","8,119","22,356,701","5,637"
32,,"Samsung SDS Co.,Ltd","74,142",-,"436,230","80,134"
33,,"Samsung Electro-Mechanics Co., Ltd","42,941",-,"245,333",-
34,Associates and,"Samsung SDI Co., Ltd","29,407",-,"107,443","2,072"
35,joint ventures,Cheil Worldwide Inc,"34,011",-,"228,990",76
36,,Other,"166,772",-,"206,284","1,811"
37,,Total,"347,273",-,"1,224,280","84,093"
38,,"Samsung C&T Co., Ltd","5,204",70,"12,947","726,138"
39,Other related,,,,,
40,,Other,"127,304",-,"309,789","61,757"
41,parties,,,,,
42,,Total,"132,508",70,"322,736","787,895"
43,,"Samsung Engineering Co., Ltd",402,-,108,"306,488"
44,,S-1,"1,529",-,"109,148","3,194"
45,Other(*2),,,,,
46,,Other,"21,933",-,"66,671","44,620"
47,,Total,"23,864",-,"175,927","354,302"
