,(In millions of,Unnamed: 0,Unnamed: 1,Unnamed: 2
0,,,Receivables,Payables
1,Korean won),Name of Company,,
2,,and other(*1),,and other(*2)
3,,"Samsung Display Co., Ltd.","32,521","108,011"
4,,"Samsung Electronics America, Inc. (SEA)","868,937","983,709"
5,,Samsung Asia Pte. Ltd. (SAPL),"1,604","1,812"
6,,Harman and its subsidiaries(*3),-,"6,537"
7,,"Samsung (China) Semiconductor Co., Ltd. (SCS)","57,423","751,693"
8,,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","606,030","2,396,411"
9,,"Samsung (CHINA) Investment Co., Ltd. (SCIC)","131,285","283,459"
10,,"Samsung Semiconductor, Inc. (SSI)","4,700,427","263,757"
11,,"Samsung Electronics Vietnam Co., Ltd. (SEV)","369,380","1,748,670"
12,,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),693,-
13,,Samsung Austin Semiconductor LLC. (SAS),"21,309","386,640"
14,,"Samsung Display Vietnam Co., Ltd. (SDV)","196,643",7
15,,Samsung India Electronics Private Ltd. (SIEL),"1,219,298","312,243"
16,Subsidiaries,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","1,623,968",77
17,,Samsung Eletronica da Amazonia Ltda. (SEDA),"227,180","3,037"
18,,"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","234,870","358,082"
19,,"Thai Samsung Electronics Co., Ltd. (TSE)","115,103","379,098"
20,,Samsung Electronics (UK) Ltd. (SEUK),"76,264",-
21,,Samsung Electronics Benelux B.V. (SEBN),"18,403",-
22,,Samsung Electronics Hungarian Private Co. Ltd. (SEH),"11,449",-
23,,Samsung Electronics Europe Logistics B.V. (SELS),"273,816","506,872"
24,,"Samsung Display Dongguan Co., Ltd. (SDD)","20,177",11
25,,"SEMES Co., Ltd.","54,327","561,368"
26,,Samsung Electronics GmbH (SEG),"10,607",-
27,,Samsung Electronics Mexico S.A. De C.V. ( SEM),"230,508","1,093"
28,,Other,"6,565,258","2,226,116"
29,,Total,"17,667,480","11,278,703"
30,,"Samsung SDS Co., Ltd","49,439","468,830"
31,,"Samsung Electro-Mechanics Co., Ltd",385,"101,960"
32,Associates and,"Samsung SDI Co., Ltd","114,618","51,199"
33,joint ventures,Cheil Worldwide Inc.,43,"444,017"
34,,Other,"203,575","159,668"
35,,Total,"368,060","1,225,674"
36,,Samsung C&T Corporation,"194,539","2,718,294"
37,Other related,,,
38,,Other,"14,679","160,305"
39,parties,,,
40,,Total,"209,218","2,878,599"
41,,"Samsung Engineering Co., Ltd",286,"1,181,947"
42,,S-1 Corporation,"3,085","59,352"
43,Other(*4),,,
44,,Other,"4,113","478,136"
45,,Total,"7,484","1,719,435"
