,Classification,1Q23,Unnamed: 0,2022,Unnamed: 1,2021
0,Par value per share (KRW),,100,100,,100
1,Consolidated net profit1) (KRW mil),,"1,401,252","54,730,018",,"39,243,791"
2,Separate net profit (KRW mil),,"4,158,095","25,418,778",,"30,970,954"
3,EPS2) (KRW),,206,"8,057",,"5,777"
4,Total cash dividend (KRW mil),,"2,452,154","9,809,438",,"9,809,438"
5,Total stock dividend (KRW mil),,-,-,,-
6,Dividend payout ratio (%),,175.0,17.9,,25.0
7,Common,,0.6,2.5,,1.8
8,Cash dividend yield (%),,,,,
9,Preferred,,0.7,2.7,,2.0
10,Common,,-,-,,-
11,Stock dividend yield (%),,,,,
12,Preferred,,-,-,,-
13,Common,,361,"1,444",,"1,444"
14,Cash dividend per share (KRW),,,,,
15,Preferred,,361,"1,445",,"1,445"
16,Common,,-,-,,-
17,Stock dividend per share (share),,,,,
18,Preferred,,-,-,,-
