,Unnamed: 0,Revenue,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Organization,Product categories,,1Q23,,2022,2021
1,,types,,,,,
2,,"Goods, TVs, monitors, refrigerators,",,,,,
3,,"products, washing machines, air",,,,,
4,DX Division,,,,"462,225","1,824,897","1,662,594"
5,,"services, conditioners, HHPs, Network",,,,,
6,,"other systems, computers, etc.",,,,,
7,,"Goods,",,,,,
8,,"products, DRAM, NAND flash, mobile APs,",,,,,
9,DS Division,,,,"137,345","984,553","953,872"
10,,"services, etc.",,,,,
11,,other,,,,,
12,,"Goods,",,,,,
13,,"products, OLED panels for smartphones,",,,,,
14,SDC,,,,"66,142","343,826","317,125"
15,,"services, etc.",,,,,
16,,other,,,,,
17,,"Goods,",,,,,
18,,"products, Digital cockpit, telematics,",,,,,
19,Harman,,,,"31,659","132,137","100,399"
20,,"services, speakers, etc.",,,,,
21,,other,,,,,
22,,Overlapping internal transactions between,,,,,
23,Others,,,,"-59,917","-263,099","-237,942"
24,,Divisions,,,,,
25,,Total,,,"637,454","3,022,314","2,796,048"
