,Unnamed: 0,Contract details,Not applicable
0,Financial ratios,,
1,,Implementation status,Not applicable
2,,Contract details,Less than 10% of net tangible assets
3,Constraint on collateral,,
4,,Implementation status,Compliant (there is no collateral for the relevant assets)
5,,,"Certain requirements, such as transfer of obligations on the bond,"
6,,Contract details,
7,,,must be satisfied to dispose all or most of an asset
8,Constraint on disposal of assets,,
9,,Implementation status,Compliant (disposed assets accounted for 0.1% of the total assets during 2023 1Q)
10,,Contract Details,Not applicable
11,Constraint on governance,,
12,,Implementation status,Not applicable
13,Submission of implementation report,Implementation status,Not applicable
