,Classification,Channel,Collection,Incidental expense sharing
0,,,,Case specific cost sharing as determined
1,Exclusive,Retailer,Credit specific,
2,,,,by mutual agreement
3,,"General merchandise store,",,
4,,,,Case specific cost sharing as determined
5,Distributor,"discount store, department store,",Case specific and contract specific,
6,,,,by mutual agreement
7,,"home shopping, online, etc.",,
8,Telecommunication,"SKT Co., Ltd., KT Corp.",,Case specific cost sharing as determined
9,,,Case specific and contract specific,
10,service provider,LG Uplus Corp.,,by mutual agreement (joint marketing)
11,B2B and online,,,
12,,"Corporate clients, etc.",Case specific and contract specific,N/A
13,channels,,,
