,No.,Date,Participants,Method,Unnamed: 0,Details of discussion
0,,,,,-,Key Audit Matters and others audit focus areas
1,,,Audit Committee: 3 members,,-,Progress of audit of Internal Control over Financial
2,,,,Face-to-face,,
3,1.0,"Jan 27, 2023",Company: Head of Audit Team,,,Reporting
4,,,,meeting,,
5,,,Auditor: Signing partner and 4 others,,-,Other required communications at the completion stage
6,,,,,,of the audit
7,,,,,-,Reporting on progress of quarterly review
8,,,Audit Committee: 3 members,,,
9,,,,Face-to-face,-,"Audit plan for the year ending December 31, 2023"
10,2.0,"Apr 25, 2023",Company: Head of Audit Team,,,
11,,,,meeting,-,Other required communications at the planning stage of
12,,,Auditor: Signing partner and 5 others,,,
13,,,,,,the audit
