,Unnamed: 0,Subsidiaries,Previous auditor,Current Auditor
0,"Samsung Display Co., Ltd.",,Deloitte Anjin,Samjong KPMG
1,"Samsung Electronics Service Co., Ltd.",,Deloitte Anjin,Samjong KPMG
2,"Samsung Electronics Service CS Co., Ltd.",,Deloitte Anjin,Samjong KPMG
3,"Samsung Electronics Sales Co., Ltd.",,Deloitte Anjin,Samjong KPMG
4,"Samsung Electronics Logitech Co., Ltd.",,Deloitte Anjin,Samjong KPMG
5,"Dowooinsys Co., Ltd.",,Deloitte Anjin,Samjong KPMG
6,"Gf-System Co., Ltd.",,Deloitte Anjin,Samjong KPMG
7,"Mirero System Co., Ltd.",,Deloitte Anjin,Samjong KPMG
8,"SU Materials Co., Ltd.",,E&Y Hanyoung,Samjong KPMG
9,"Samsung Electronics America, Inc. (SEA)",,Deloitte,KPMG
10,"Samsung Semiconductor, Inc. (SSI)",,Deloitte,KPMG
11,Samsung Mexicana S.A. de C.V (SAMEX),,Deloitte,KPMG
12,"Samsung International, Inc. (SII)",,Deloitte,KPMG
13,Samsung Austin Semiconductor LLC. (SAS),,Deloitte,KPMG
14,Samsung Electronics Mexico S.A. De C.V. (SEM),,Deloitte,KPMG
15,Samsung Electronics (UK) Ltd. (SEUK),,Deloitte,KPMG
16,Samsung Electronics Holding GmbH (SEHG),,Deloitte,KPMG
17,Samsung Semiconductor Europe GmbH (SSEG),,Deloitte,KPMG
18,Samsung Electronics GmbH (SEG),,Deloitte,KPMG
19,Samsung Semiconductor Europe Limited (SSEL),,Deloitte,KPMG
20,"Samsung Vina Electronics Co., Ltd. (SAVINA)",,Deloitte,KPMG
21,Samsung Electronics Singapore Pte. Ltd. (SESP),,Deloitte,KPMG
22,Samsung Asia Pte. Ltd. (SAPL),,Deloitte,KPMG
23,Samsung Electronics Australia Pty. Ltd. (SEAU),,Deloitte,KPMG
24,"Thai Samsung Electronics Co., Ltd. (TSE)",,Deloitte,KPMG
25,"Samsung Display Vietnam Co., Ltd. (SDV)",,Deloitte,KPMG
26,Samsung R&D Institute BanglaDesh Limited (SRBD),,Deloitte,KPMG
27,"Samsung Electronics Vietnam Co., Ltd. (SEV)",,Deloitte,KPMG
28,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)",,Deloitte,KPMG
