,"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)",Deloitte,KPMG
0,"Samsung (CHINA) Investment Co., Ltd. (SCIC)",Deloitte,KPMG
1,"Samsung Electronics Taiwan Co., Ltd. (SET)",Deloitte,KPMG
2,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",Deloitte,KPMG
3,"Samsung Gulf Electronics Co., Ltd. (SGE)",Deloitte,KPMG
4,Samsung Electronics Saudi Arabia Ltd. (SESAR),Deloitte,KPMG
5,Samsung Electronics South Africa(Pty) Ltd. (SSA),Deloitte,KPMG
6,Samsung Electronics Turkiye (SETK),Deloitte,KPMG
7,Samsung Electronics Industry and Commerce Ltd. (SETK-P),Deloitte,KPMG
8,Samsung Eletronica da Amazonia Ltda. (SEDA),Deloitte,KPMG
9,Samsung Japan Corporation (SJC),PwC,KPMG
10,Samsung R&D Institute Japan Co. Ltd. (SRJ),PwC,KPMG
11,"Samsung Electronics Japan Co., Ltd. (SEJ)",PwC,KPMG
12,"Samsung Oak Holdings, Inc. (SHI)",PwC,KPMG
13,"Samsung Electronics Canada, Inc. (SECA)",PwC,KPMG
14,"Samsung Research America, Inc (SRA)",PwC,KPMG
15,SAMSUNG NEXT LLC (SNX),PwC,KPMG
16,SAMSUNG NEXT FUND LLC (SNXF),PwC,KPMG
17,"Samsung Electronics Home Appliances America, LLC (SEHA)",PwC,KPMG
18,"Samsung Electronics Digital Appliance Mexico, SA de CV (SEDAM)",PwC,KPMG
19,"Samsung Electronics Latinoamerica Miami, Inc. (SEMI)",PwC,KPMG
20,Samsung Electronics France S.A.S (SEF),PwC,KPMG
21,Samsung Electronics Hungarian Private Co. Ltd. (SEH),PwC,KPMG
22,Samsung Electronics Czech and Slovak s.r.o. (SECZ),PwC,KPMG
23,Samsung Electronics Italia S.P.A. (SEI),PwC,KPMG
24,Samsung Electronics Europe Logistics B.V. (SELS),PwC,KPMG
25,Samsung Electronics Romania LLC (SEROM),PwC,KPMG
26,Samsung Electronics Overseas B.V. (SEO),PwC,KPMG
27,"Samsung Electronics Polska, SP.Zo.o (SEPOL)",PwC,KPMG
28,Samsung Electronics Nordic Aktiebolag (SENA),PwC,KPMG
29,Samsung Electronics Austria GmbH (SEAG),PwC,KPMG
30,Samsung Electronics Switzerland GmbH (SESG),PwC,KPMG
31,SAMSUNG ELECTRONICS BALTICS SIA (SEB),PwC,KPMG
32,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),PwC,KPMG
33,Samsung Electronics Poland Manufacturing SP.Zo.o (SEPM),PwC,KPMG
34,Samsung Electronics Greece S.M.S.A (SEGR),PwC,KPMG
35,Samsung Nanoradio Design Center (SNDC),PwC,KPMG
36,Samsung Electronics Air Conditioner Europe B.V. (SEACE),PwC,KPMG
37,Samsung Denmark Research Center ApS (SDRC),PwC,KPMG
38,Samsung Cambridge Solution Centre Limited (SCSC),PwC,KPMG
39,Samsung R&D Institute India-Bangalore Private Limited (SRI-Bangalore),PwC,KPMG
40,Samsung Electronics New Zealand Limited (SENZ),PwC,KPMG
41,PT Samsung Electronics Indonesia (SEIN),PwC,KPMG
42,PT Samsung Telecommunications Indonesia (STIN),PwC,KPMG
43,Samsung Display Noida Private Limited (SDN),PwC,KPMG
44,"Samsung Display Dongguan Co., Ltd. (SDD)",PwC,KPMG
45,"Samsung Display Tianjin Co., Ltd. (SDT)",PwC,KPMG
