,"Samsung Electronics Hong Kong Co., Ltd. (SEHK)",PwC,KPMG
0,"Suzhou Samsung Electronics Co., Ltd. (SSEC)",PwC,KPMG
1,"Samsung Suzhou Electronics Export Co., Ltd. (SSEC-E)",PwC,KPMG
2,Samsung Mobile R&D Center China-Guangzhou (SRC-Guangzhou),PwC,KPMG
3,Samsung R&D Institute China-Shenzhen (SRC-Shenzhen),PwC,KPMG
4,"Samsung Electronics Suzhou Semiconductor Co., Ltd. (SESS)",PwC,KPMG
5,"SEMES (XIAN) Co., Ltd.",PwC,KPMG
6,Beijing Samsung Telecom R&D Center (SRC-Beijing),PwC,KPMG
7,"Samsung Electronics Suzhou Computer Co., Ltd. (SESC)",PwC,KPMG
8,"Samsung Semiconductor (China) R&D Co., Ltd. (SSCR)",PwC,KPMG
9,Samsung Electronics China R&D Center (SRC-Nanjing),PwC,KPMG
10,"Samsung (China) Semiconductor Co., Ltd. (SCS)",PwC,KPMG
11,"Samsung SemiConductor Xian Co., Ltd. (SSCX)",PwC,KPMG
12,Samsung Electronics West Africa Ltd. (SEWA),PwC,KPMG
13,Samsung Electronics East Africa Ltd. (SEEA),PwC,KPMG
14,Samsung Electronics Israel Ltd. (SEIL),PwC,KPMG
15,Samsung Electronics Tunisia S.A.R.L (SETN),PwC,KPMG
16,Samsung Electronics Pakistan(Private) Ltd. (SEPAK),PwC,KPMG
17,Samsung Electronics South Africa Production (pty) Ltd. (SSAP),PwC,KPMG
18,"Samsung Semiconductor Israel R&D Center, Ltd. (SIRC)",PwC,KPMG
19,Samsung Electronics Maghreb Arab (SEMAG),PwC,KPMG
20,"Samsung Electronics Latinoamerica(Zona Libre), S. A. (SELA)",PwC,KPMG
21,Samsung Electronica Colombia S.A. (SAMCOL),PwC,KPMG
22,Samsung Electronics Chile Limitada (SECH),PwC,KPMG
23,Samsung Electronics Peru S.A.C. (SEPR),PwC,KPMG
24,Samsung Electronics Ukraine Company LLC (SEUC),PwC,KPMG
25,Samsung R&D Institute Ukraine (SRUKR),PwC,KPMG
26,Samsung Electronics Central Eurasia LLP (SECE),PwC,KPMG
27,"Samsung Electronics Iberia, S.A. (SESA)",E&Y,KPMG
28,Samsung Electronics Benelux B.V. (SEBN),E&Y,KPMG
29,"Samsung Electronics Portuguesa, Unipessoal, Lda. (SEP)",E&Y,KPMG
30,Samsung Electronics Philippines Corporation (SEPCO),E&Y,KPMG
31,"Samsung Electronics Levant Co.,Ltd. (SELV)",E&Y,KPMG
32,Samsung Electronics Caucasus Co. Ltd (SECC),E&Y,KPMG
33,"Laos Samsung Electronics Sole Co., Ltd (LSE)","KPP Co., Ltd",KPMG
