,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Ownership,Unnamed: 4
0,,,Type of,,,
1,Name,Relationship1),,Period start,Period end,Notes
2,,,share,,,
3,,,,Shares Stake (%),Shares Stake (%),
4,,,Common,"508,157,148","8.51 508,157,148 8.51",-
5,Samsung Life,Major,,,,
6,Insurance,shareholder,,,,
7,,,Preferred,"43,950","0.01 43,950 0.01",-
8,Samsung Life,,Common,"10,246,942","0.17 10,014,852 0.17",Open market transactions
9,Insurance,Major,,,,
10,(special,shareholder,,,,
11,,,Preferred,"403,278","0.05 540,188 0.07",Open market transactions
12,accounts),,,,,
13,Samsung,,,,,
14,,Affiliate,Common,"298,818,100","5.01 298,818,100 5.01",-
15,C&T,,,,,
16,Samsung,,,,,
17,Fire & Marine,Affiliate,Common,"88,802,052","1.49 88,802,052 1.49",-
18,Insurance,,,,,
19,Samsung,,,,,
20,Welfare,Funded foundation,Common,"4,484,150","0.08 4,484,150 0.08",-
21,Foundation,,,,,
22,Samsung,,,,,
23,Foundation,Funded foundation,Common,"1,880,750","0.03 1,880,750 0.03",-
24,Of Culture,,,,,
25,,,Common,"117,302,806","1.96 117,302,806 1.96",-
26,,Related party of the,,,,
27,Ra-hee Hong,,,,,
28,,major shareholder,,,,
29,,,Preferred,"206,633","0.03 206,633 0.03",-
30,,,Common,"97,414,196","1.63 97,414,196 1.63",-
31,,Related party of the,,,,
32,Jae-yong Lee,,,,,
33,,major shareholder,,,,
34,,,Preferred,"137,757","0.02 137,757 0.02",-
35,,,- Common,"55,394,044","0.93 55,394,044 0.93",
36,,Executive member of,,,,
37,Boo-jin Lee,,,,,
38,,affiliate,,,,
39,,,Preferred,"137,755","0.02 137,755 0.02",-
40,,,Common,"55,394,044","0.93 55,394,044 0.93",-
41,Seo-hyun,Related party of the,,,,
42,Lee,major shareholder,,,,
43,,,Preferred,"137,755","0.02 137,755 0.02",-
44,Jong-hee,Executive member of,,,,
45,,,Common,"15,000","0.00 15,000 0.00",-
46,Han,affiliate,,,,
47,Kye-hyun,Executive member of,,,,
48,,,Common,"18,050","0.00 21,050 0.00",Open market transactions
49,Kyung,affiliate,,,,
50,Tae-moon,Executive member of,,,,
51,,,Common,"13,000","0.00 13,000 0.00",-
52,Roh,affiliate,,,,
53,Hark-kyu,Executive member of,,,,
54,,,Common,"22,500","0.00 22,500 0.00",-
55,Park,affiliate,,,,
