,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,Ownership,,,,,,
1,,Type of,,,,,,,,
2,Name,Relationship1),Period start,,Period end,Notes,,,,
3,,share,,,,,,,,
4,,,,,,,,,,
5,,,Shares,Stake (%),,Shares,Stake (%),,,
6,Jung-bae Lee,"Executive member ofaffiliate",Common,"15,000",0.00,,"15,000",0.00,-,
7,,,,,,,,,,
8,Han-jo Kim,"Executive member ofaffiliate",Common,"3,655",0.00,,"3,655",0.00,-,
9,,,,,,,,,,
10,Total,Common,"1,237,981,437",20.74,,"1,237,752,347",20.73,-,,
11,,,,,,,,,,
12,Preferred,"1,067,128",0.13,,"1,204,038",0.15,-,,,
13,,,,,,,,,,
