,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,,CEO,,Major shareholder,,,
1,Date of change,,,,,,,
2,,,,,,,,
3,,,Name,Share ratio (%),,Name,,Share ratio (%)
4,,,,,,,,
5,"Mar 19, 2021",Young-ho Lee,-,-,-,,,
6,"Mar 19, 2021",Keum-yong Chung,-,-,-,,,
7,"Mar 19, 2021",Se-chul Oh,0.00,-,-,,,
8,"Mar 19, 2021",Seung-hwan Han,0.00,-,-,,,
9,"Mar 19, 2021",Jung-suk Koh,0.00,-,-,,,
10,"Apr 29, 2021",-,-,Jae-yong Lee,18.13,,,
11,"Mar 17, 2023",Seung-hwan Han,-,-,-,,,
12,"Mar 17, 2023",Hai-lin Jeong,0.00,-,-,,,
