,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Number of shares,Relationship,Unnamed: 8,Unnamed: 9
0,,,Date,,,Full/,,,,,Length of,
1,,,,,Registered,,,,owned1),with the,,Term
2,Name,Gender,of,Position,,part-,Responsibility,Major career,,,service,
3,,,,,Executive,,,,,major,,expiration
4,,,birth,,,time,,,Common Preferred,shareholder2),(months),
5,,,,,,,,- Bachelor’s degree in,,,,
6,,,,,,,,,,Executive,,
7,Jong-hee,,Mar,Vice,Executive,,- CEO (head of,Electronic Engineering,,,,"Mar 15,"
8,,M,,,,Full,,,"15,000 -",Member of an,37,
9,Han,,1962,Chairman,Director,,the DX Division),from Inha University,,,,2026
10,,,,,,,,,,affiliate,,
11,,,,,,,,- Head of DX Division,,,,
12,,,,,,,,- Doctor’s degree in,,,,
13,,,,,,,,Control and,,,,
14,,,,,,,,Measurement,,Executive,,
15,Kye-hyun,,Mar,,Executive,,- CEO (head of,,,,,"Mar 15,"
16,,M,,President,,Full,,Engineering from,"21,050 -",Member of an,13,
17,Kyung,,1963,,Director,,the DS Division),,,,,2025
18,,,,,,,,Seoul National,,affiliate,,
19,,,,,,,,University,,,,
20,,,,,,,,- Head of DS Division,,,,
21,,,,,,,,- Doctor’s degree in,,,,
22,,,,,,,,Electrical Engineering,,,,
23,,,,,,,,,,Executive,,
24,Tae-moon,,Sep,,Executive,,- Head of MX,from Pohang University,,,,"Mar 15,"
25,,M,,President,,Full,,,"13,000 -",Member of an,13,
26,Roh,,1968,,Director,,Business,of Science and,,,,2025
27,,,,,,,,,,affiliate,,
28,,,,,,,,Technology,,,,
29,,,,,,,,- Head of MX Business,,,,
30,,,,,,,,- Master’s degree in,,,,
31,,,,,,,,Business and,,,,
32,,,,,,,,Technology,,,,
33,,,,,,,,Management from,,Executive,,
34,Hark-kyu,,Nov,,Executive,,,,,,,"Mar 15,"
35,,M,,President,,Full,- CFO,Korea Advanced,"22,500 -",Member of an,13,
36,Park,,1964,,Director,,,,,,,2025
37,,,,,,,,Institute of Science,,affiliate,,
38,,,,,,,,and Technology,,,,
39,,,,,,,,- Head of Corporate,,,,
40,,,,,,,,Management Office,,,,
41,,,,,,,,- Doctor’s degree in,,,,
42,,,,,,,,Electronic Engineering,,,,
43,,,,,,,,,,Executive,,
44,Jung-bae,,Feb,,Executive,,- Head of Memory,from Seoul National,,,,"Mar 15,"
45,,M,,President,,Full,,,"15,000 -",Member of an,13,
46,Lee,,1967,,Director,,Business,University,,,,2025
47,,,,,,,,,,affiliate,,
48,,,,,,,,- Head of Memory,,,,
49,,,,,,,,Business,,,,
50,,,,,,,- Board Chair,,,,,
51,,,,,,,- Head of Audit,,,,,
52,,,,,,,Committee,,,,,
53,,,,,,,,- Bachelor’s degree in,,,,
54,,,,,,,- Related Party,,,,,
55,,,,,,,,French language and,,,,
56,,,,,,,Transactions,,,Executive,,
57,Han-jo,,Jul,,Independent,,,Literature from Yonsei,,,,"Mar 19,"
58,,M,,Director,,Part,Committee Member,,"3,655 -",Member of an,49,
59,Kim,,1956,,Director,,,University,,,,2025
60,,,,,,,- Compensation,,,affiliate,,
61,,,,,,,,- Chairman of Hana,,,,
62,,,,,,,Committee Member,,,,,
63,,,,,,,,Foundation,,,,
64,,,,,,,- Head of,,,,,
65,,,,,,,Sustainability,,,,,
66,,,,,,,Committee,,,,,
67,,,,,,,- Audit Committee,,,,,
68,,,,,,,Member,- Doctor’s degree in,,,,
69,,,,,,,- Head of the,Administrative Law,,,,
70,,,,,,,Related Party,from,,Executive,,
71,Sun-uk,,Dec,,Independent,,,,,,,"Mar 22,"
72,,F,,Director,,Part,Transactions,University of Konstanz,- -,Member of an,61,
73,Kim,,1952,,Director,,,,,,,2024
74,,,,,,,Committee,- Professor Emeritus at,,affiliate,,
75,,,,,,,- Independent,Ewha Womans,,,,
76,,,,,,,Director,University,,,,
77,,,,,,,Recommendation,,,,,
