,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Committee Member,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,,,,,,,- Sustainability,,,,,,
1,,,,,,,Committee Member,,,,,,
2,,,,,,,- Audit Committee,,,,,,
3,,,,,,,Member,,,,,,
4,,,,,,,- Related Party,- Doctor’s degree in,,,,,
5,,,,,,,Transactions,Reliability,,,,,
6,,,,,,,,,,,Executive,,
7,Jeong,,Aug,,Independent,,Committee Member,Engineering from the,,,,,"Mar 22,"
8,,M,,Director,,Part,,,-,-,Member of an,61.0,
9,Kim,,1960,,Director,,- Head of,University of Maryland,,,,,2024
10,,,,,,,,,,,affiliate,,
11,,,,,,,Compensation,- President of Kiswe,,,,,
12,,,,,,,Committee,Mobile,,,,,
13,,,,,,,- Sustainability,,,,,,
14,,,,,,,Committee Member,,,,,,
15,,,,,,,,- Bachelor’s degree in,,,,,
16,,,,,,,,Economics & Business,,,,,
17,,,,,,,,Administration from,,,,,
18,,,,,,,,Carnegie Mellon,,,,,
19,,,,,,,- Compensation,,,,,,
20,,,,,,,,University,,,Executive,,
21,Jun-sung,,Oct,,Independent,,Committee Member,,,,,,"Mar 15,"
22,,M,,Director,,Part,,- Managing Director of,-,-,Member of an,13.0,
23,Kim,,1967,,Director,,- Sustainability,,,,,,2025
24,,,,,,,,Government,,,affiliate,,
25,,,,,,,Committee Member,,,,,,
26,,,,,,,,of Singapore,,,,,
27,,,,,,,,Investment Corporation,,,,,
28,,,,,,,,(GIC) Total Return,,,,,
29,,,,,,,,Group,,,,,
30,,,,,,,,- Doctor’s degree in,,,,,
31,,,,,,,- Independent,,,,,,
32,,,,,,,,Mineral Economics,,,,,
33,,,,,,,Director,,,,,,
34,Eun-,,,,,,,from The Pennsylvania,,,Executive,,
35,,,Aug,,Independent,,Recommendation,,,,,,"Nov 2,"
36,nyeong,M,,Director,,Part,,State University,-,-,Member of an,5.0,
37,,,1964,,Director,,Committee Member,,,,,,2025
38,Heo,,,,,,,- Professor of College of,,,affiliate,,
39,,,,,,,- Sustainability,,,,,,
40,,,,,,,,Engineering at Seoul,,,,,
41,,,,,,,Committee Member,,,,,,
42,,,,,,,,National University,,,,,
43,,,,,,,,- Doctor's degree in,,,,,
44,,,,,,,,Administrative Law,,,,,
45,,,,,,,- Independent,,,,,,
46,,,,,,,,from Vanderbilt,,,,,
47,,,,,,,Director,,,,,,
48,Myung-,,,,,,,University,,,Executive,,
49,,,Jun,,Independent,,Recommendation,,,,,,"Nov 2,"
50,hee,F,,Director,,Part,,- Visiting Professor of,-,-,Member of an,5.0,
51,,,1967,,Director,,Committee Member,,,,,,2025
52,Yoo,,,,,,,Graduate School of,,,affiliate,,
53,,,,,,,- Sustainability,,,,,,
54,,,,,,,,International Studies,,,,,
55,,,,,,,Committee Member,,,,,,
56,,,,,,,,at Seoul National,,,,,
57,,,,,,,,University,,,,,
