,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Limit of guarantee,Transactions,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,Guarantee,Guarantee,,,,,Interest
1,Company,Relationship,Creditor,Type,Purpose,End of start date,expiry date,Beginning of End of Beginning,Increase/,,,Rate (%)
2,,,,,,,,period period of period,decrease,period,,
3,,,,Payment,Operating,"Apr 16,",,,,,,
4,SEA,Subsidiary,BOA etc.,,,,"Dec 16, 2023","1,278,000 1,278,000",- -,-,,
5,,,,guarantee,fund,2022,,,,,,
6,,,,Payment,Operating,"Jun 14,",,,,,,
7,SEM,Subsidiary,BBVA etc.,,,,"Mar 27, 2024","715,000 715,000",- -,-,,
8,,,,guarantee,fund,2022,,,,,,
9,,,,Payment,Operating,"Jun 14,",,,,,,
10,SAMCOL,Subsidiary,Citibank etc.,,,,"Dec 16, 2023","210,000 210,000",- -,-,,
11,,,,guarantee,fund,2022,,,,,,
12,,,BRADESCO,Payment,Operating,,,,,,,
13,SEDA,Subsidiary,,,,"Oct 1, 2022","Dec 16, 2023","409,000 409,000",- -,-,,
14,,,etc.,guarantee,fund,,,,,,,
15,,,,Payment,Operating,"Jun 14,",,,,,,
16,SECH,Subsidiary,Citibank etc.,,,,"Dec 16, 2023","62,000 62,000",- -,-,,
17,,,,guarantee,fund,2022,,,,,,
18,,,,Payment,Operating,,,,,,,
19,SEPR,Subsidiary,BBVA etc.,,,"Jun 1, 2022","Dec 16, 2023","150,000 150,000",- -,-,,
20,,,,guarantee,fund,,,,,,,
21,,,,Payment,Operating,"Jun 14,",,,,,,
22,SSA,Subsidiary,SCB etc.,,,,"Dec 16, 2023","318,000 318,000",- -,-,,
23,,,,guarantee,fund,2022,,,,,,
24,,,,Payment,Operating,,,,,,,
25,SEMAG,Subsidiary,SocGen etc.,,,"Nov 9, 2022","Dec 16, 2023","110,000 110,000",- -,-,,
26,,,,guarantee,fund,,,,,,,
27,,,,Payment,Operating,"Jun 14,",,,,,,
28,SETK,Subsidiary,BNP etc.,,,,"Dec 16, 2023","777,000 777,000 239,395","53,928","293,323",,36.8%
29,,,,guarantee,fund,2022,,,,,,
30,,,,Payment,Operating,,,,,,,
31,SETK-P,Subsidiary,BNP etc.,,,"Nov 9, 2022","Dec 16, 2023","130,000 130,000 25,649",-641,"25,008",,34.4%
32,,,,guarantee,fund,,,,,,,
33,,,,Payment,Operating,"Dec 17,",,,,,,
34,SECE,Subsidiary,Citibank,,,,"Dec 16, 2023","60,000 100,000",- -,-,,
35,,,,guarantee,fund,2022,,,,,,
36,,,,Payment,Operating,"Jun 14,",,,,,,
37,SEEG,Subsidiary,HSBC,,,,"Jun 13, 2023","85,000 85,000",- -,-,,
38,,,,guarantee,fund,2022,,,,,,
39,,,,Payment,Operating,"Jun 14,",,,,,,
40,SEIN,Subsidiary,BNP etc.,,,,"Nov 8, 2023","70,000 70,000",- -,-,,
41,,,,guarantee,fund,2022,,,,,,
42,,,Mizuho,Payment,Operating,"Apr 28,",,,,,,
43,SJC,Subsidiary,,,,,"Dec 16, 2023","832,572 832,811",- -,-,,
44,,,Bank etc.,guarantee,fund,2022,,,,,,
45,,,Credit,Payment,Operating,"Jun 14,",,,,,,
