,Unnamed: 0,Unnamed: 1,Unnamed: 2,Payment Operating,"Jan 18,",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,SEUZ,Subsidiary,Citibank,,,"Dec 16, 2023",-,"10,000",,,
1,,,,guarantee fund,2023,,,,,,
2,AdGear,,,,,,,,,,
3,,,,Payment Operating,,,,,,,
4,Technologies,Subsidiary,BOA,,"Nov 9, 2022","Nov 8, 2023","2,000","2,000",-,-,-
5,,,,guarantee fund,,,,,,,
6,Inc.,,,,,,,,,,
7,Harman,,,,,,,,,,
8,International,,,Payment Operating,"Jun 14,",,,,,,
9,,Subsidiary,JP Morgan,,,"Jun 13, 2023","100,000","100,000",-,-,-
10,"Industries,",,,guarantee fund,2022,,,,,,
11,Inc.,,,,,,,,,,
12,Harman,,,,,,,,,,
13,International,,,Payment Operating,,,,,,,
14,,Subsidiary,MUFG,,"Nov 9, 2022","Nov 8, 2023","25,000","25,000",-,-,-
15,"Japan Co.,",,,guarantee fund,,,,,,,
16,Ltd.,,,,,,,,,,
17,Harman,,,,,,,,,,
18,,,,Payment Operating,"Jun 14,",,,,,,
19,Holding,Subsidiary,HSBC,,,"Jun 13, 2023","30,000","30,000",-,-,-
20,,,,guarantee fund,2022,,,,,,
21,Limited,,,,,,,,,,
22,Harman do,,,,,,,,,,
23,Brasil,,,,,,,,,,
24,Industria,,,,,,,,,,
25,Eletronica e,,,,,,,,,,
26,Participacoes,,,,,,,,,,
27,Ltda.,,,Payment Operating,,,,,,,
28,,Subsidiary,SocGen,,"Nov 9, 2022","Nov 8, 2023","15,000","15,000",-,-,-
29,Harman da,,,guarantee fund,,,,,,,
30,Amazonia,,,,,,,,,,
31,Industria,,,,,,,,,,
32,Eletronica e,,,,,,,,,,
33,Participacoes,,,,,,,,,,
34,Ltda.,,,,,,,,,,
35,Harman,,,,,,,,,,
36,International,,,Payment Operating,"Jun 14,",,,,,,
37,,Subsidiary,HSBC,,,"Jun 13, 2023","30,000","30,000",-,-,-
38,Industries,,,guarantee fund,2022,,,,,,
39,Limited,,,,,,,,,,
40,,,,Total,,,"8,146,572","8,146,811","430,476","-102,690","327,786"
