,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Purpose of,Unnamed: 5,Gain or loss
0,Company,Relationship,Transaction type,Transaction date1),Asset,,Amount2),
1,,,,,,transaction,,on disposal
2,,,,,,Enhance capacity and,,
3,SCS,Affiliates,Asset sale/purchase,"Mar 31, 2023","Machinery, etc.",,"12,266","3,923"
4,,,,,,production efficiency,,
5,,,,,,Enhance capacity and,,
6,SEV,Affiliates,Asset purchase,"Mar 23, 2023","Machinery, etc.",,767,-
7,,,,,,production efficiency,,
8,,,,,,Enhance capacity and,,
9,TSLED,Affiliates,Asset sale,"Mar 19, 2023","Machinery, etc.",,372,361
10,,,,,,production efficiency,,
