,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Guarantee,Unnamed: 4,Transactions,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,,,,,,,,,Limit of
1,,Company,Relationship,Creditor,,Beginning,,End of,,
2,,,,,Expiry date,,Increase Decrease,,,guarantee
3,,,,,,of period,,period,,
4,SEA,,Subsidiary,BOA etc.,16-Dec-23,-,- -,-,,"1,278,000"
5,SEM,,Subsidiary,BBVA etc.,27-Mar-24,-,- -,-,,"715,000"
6,SAMCOL,,Subsidiary,Citibank etc.,16-Dec-23,-,- -,-,,"210,000"
7,SEDA,,Subsidiary,BRADESCO etc.,16-Dec-23,-,- -,-,,"409,000"
8,SECH,,Subsidiary,Citibank etc.,16-Dec-23,-,- -,-,,"62,000"
9,SEPR,,Subsidiary,BBVA etc.,16-Dec-23,-,- -,-,,"150,000"
10,SSA,,Subsidiary,SCB etc.,16-Dec-23,-,- -,-,,"318,000"
11,SEMAG,,Subsidiary,SocGen etc.,16-Dec-23,-,- -,-,,"110,000"
12,SETK,,Subsidiary,BNP etc.,16-Dec-23,"239,395","53,928 -","293,323",,"777,000"
13,SETK-P,,Subsidiary,BNP etc.,16-Dec-23,"25,649",- -641,"25,008",,"130,000"
14,SECE,,Subsidiary,Citibank etc.,16-Dec-23,-,- -,-,,"100,000"
15,SEEG,,Subsidiary,HSBC,13-Jun-23,-,- -,-,,"85,000"
16,SEIN,,Subsidiary,BNP etc.,08-Nov-23,-,- -,-,,"70,000"
17,SJC,,Subsidiary,Mizuho Bank etc.,16-Dec-23,-,- -,-,,"832,811"
18,SEUC,,Subsidiary,Credit Agricole etc.,16-Dec-23,-,- -,-,,"125,000"
19,SEDAM,,Subsidiary,Citibank etc.,16-Dec-23,"155,768","- -155,768",-,,"537,000"
20,SECA,,Subsidiary,BoA,08-Nov-23,-,- -,-,,"70,000"
21,SELA,,Subsidiary,Citibank,16-Dec-23,-,- -,-,,"60,000"
22,SEEH,,Subsidiary,HSBC etc.,16-Dec-23,-,- -,-,,"888,400"
23,SERK,,Subsidiary,SOCGEN etc.,8-Nov-23,-,- -,-,,"20,000"
24,SELV,,Subsidiary,Citibank,16-Dec-23,-,- -,-,,"10,000"
25,SEIL,,Subsidiary,Citibank,16-Dec-23,"9,664",- -209,"9,455",,"15,600"
26,SAPL,,Subsidiary,BOA etc.,16-Dec-23,-,- -,-,,"404,000"
27,SAVINA,,Subsidiary,HSBC,13-Jun-23,-,- -,-,,"51,000"
28,SCIC,,Subsidiary,HSBC etc.,16-Dec-23,-,- -,-,,"300,000"
29,SME,,Subsidiary,SCB,08-Nov-23,-,- -,-,,"110,000"
30,SAMEX,,Subsidiary,Citibank,16-Dec-23,-,- -,-,,"5,000"
31,SEASA,,Subsidiary,Citibank,16-Dec-23,-,- -,-,,"2,000"
