,SSAP,Subsidiary,SCB,Unnamed: 0,08-Nov-23,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,-,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"35,00",Unnamed: 14
0,SEPM,Subsidiary,HSBC,,13-Jun-23,,,,,,-,,,,,,,,,"35,00",
1,SESAR,Subsidiary,HSBC,,13-Jun-23,,,,,,-,,,,,,,,,"20,00",
2,SEUZ,Subsidiary,Citibank,,16-Dec-23,,,,,,-,,,,,,,,,"10,00",
3,AdGear Technologies Inc.,Subsidiary,BOA,,08-Nov-23,,,,,,-,,,,,,,,,"2,00",
4,"Harman International Industries, Inc.",Subsidiary,JP Morgan,,13-Jun-23,,,,,,-,,,,,,,,,"100,00",
5,"Harman International Japan Co., Ltd.",Subsidiary,MUFG,,08-Nov-23,,,,,,-,,,,,,,,,"25,00",
6,Harman Holding Limited,Subsidiary,HSBC,,13-Jun-23,,,,,,-,,,,,,,,,"30,00",
7,Harman do Brasil Industria Eletronica e Participacoes Ltda.,Subsidiary,SocGen,08-Nov-23,-,-,-,-,"15,000",,,,,,,,,,,,
8,,,,08-Nov-23,,-,,,"15,000",,,,,,,,,,,,
9,Harman da Amazonia Industria Eletronica e Participacoes Ltda.,,,,,,,,,,,,,,,,,,,,
10,Harman International Industries Limited,Subsidiary,HSBC,,13-Jun-23,,,,,,-,,,,,,,,,"30,00",
11,SDN,Subsidiary,SIEL,,19-Feb-26,,,"513,36",,,"4,295",,,,,,"517,66",,,"609,01",
12,SAS,Subsidiary,Epcor,,The date of,,-,-,-,-,"340,000",,,,,,,,,,
13,,,,,,,,-,,,"340,00",,,,,,,,,,
14,,,,debt expiration,,,,,,,,,,,,,,,,,
15,DOWOOINSYS VINA COMPANY LIMITED,Subsidiary,ANZ,,09-Nov-25,,,"20,00",,,-,,,,,,"20,00",,,"20,00",
16,Total,,"963,84",,,"58,223",,,"-156,61",,,"865,44",,,"9,115,82",,,,,,
