,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Balance as of January 1, 2022","93,743","610,513","3,455,621","229,960,328","(1,670,158)","232,450,047","6,797,031","239,247,078"
1,Profit for the period,-,-,-,"8,732,712",-,"8,732,712","153,430","8,886,142"
2,Gain (Loss) on valuation of financial,,,,,,,,
3,assets at fair value through other,,,,,,,,
4,"comprehensive income, net of tax",-,-,-,"1,783","(482,730)","(480,947)","6,863","(474,084)"
5,Share of other comprehensive loss of,,,,,,,,
6,"associates and joint ventures, net of tax",-,-,-,-,"(201,943)","(201,943)",415,"(201,528)"
7,"Gain on overseas business translation, net of tax",-,-,-,-,"1,887,049","1,887,049","25,227","1,912,276"
8,Remeasurement of net defined benefit,,,,,,,,
9,"liabilities (assets), net of tax",-,-,-,-,"(49,343)","(49,343)",(3),"(49,346)"
10,Gain on valuation of cash flow hedge,,,,,,,,
11,derivatives,-,-,-,-,"4,976","4,976",-,"4,976"
12,Total comprehensive income for the period,-,-,-,"8,734,495","1,158,009","9,892,504","185,932","10,078,436"
13,Dividends declared,-,-,-,"(1,924,788)",-,"(1,924,788)",(414),"(1,925,202)"
14,Capital transactions under common control,-,-,-,-,-,-,(179),(179)
15,Others,-,-,-,-,-,-,483,483
16,Total transactions with owners,-,-,-,"(1,924,788)",-,"(1,924,788)",(110),"(1,924,898)"
17,"Balance as of March 31, 2022","93,743","610,513","3,455,621","236,770,035","(512,149)","240,417,763","6,982,853","247,400,616"
