,Unnamed: 0,Unnamed: 1,"For the three-month period ended March 31,"
0,,Notes,2023 2022 2023 2022
1,,,KRW KRW USD USD
2,Financing activities,,
3,Net increase (decrease) in short-term borrowings,,"(777,531) 213,034 (610,108) 167,162"
4,Increase in long-term borrowings,,"58,036 1,000 45,539 785"
5,Repayment of debentures and long-term borrowings,,"(259,113) (708,717) (203,319) (556,112)"
6,Dividends paid,,(243) (461) (191) (362)
7,Net decrease in non-controlling interests,,(948) (202) (744) (158)
8,Net cash used in financing activities,,"(979,799) (495,346) (768,823) (388,685)"
9,,,
10,Effect of foreign exchange rate changes,,"1,485,222 592,355 1,165,416 464,806"
11,Net increase in cash and cash equivalents,,"23,268,667 9,913,567 18,258,321 7,778,920"
12,,,
13,Cash and cash equivalents,,
14,Beginning of the period,,"49,680,710 39,031,415 38,983,166 30,626,940"
15,End of the period,,"72,949,377 48,944,982 57,241,487 38,405,860"
