,Unnamed: 0,"Samsung (CHINA) Investment Co., Ltd. (SCIC)",Sale of electronic devices,100.0
0,,"Samsung Electronics Hong Kong Co., Ltd. (SEHK)",Sale of electronic devices,100.0
1,,"Samsung Electronics Taiwan Co., Ltd. (SET)",Sale of electronic devices,100.0
2,,"Tianjin Samsung Electronics Co., Ltd. (TSEC)",Manufacture of TV and monitors,91.2
3,,"Suzhou Samsung Electronics Co., Ltd. (SSEC)",Manufacture of home appliances,88.3
4,,"Samsung Suzhou Electronics Export Co., Ltd. (SSEC-E)",Manufacture of home appliances,100.0
5,,"Samsung Electronics Suzhou Computer Co., Ltd. (SESC)",R&D,100.0
6,,"Tianjin Samsung Telecom Technology Co., Ltd. (TSTC)",Manufacture of communication equipment,90.0
7,,Beijing Samsung Telecom R&D Center (SRC-Beijing),R&D,100.0
8,,Samsung Electronics China R&D Center (SRC-Nanjing),R&D,100.0
9,,Samsung Mobile R&D Center China-Guangzhou (SRC-Guangzhou),R&D,100.0
10,,Samsung R&D Institute China-Shenzhen (SRC-Shenzhen),R&D,100.0
11,,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",Sale of semiconductor and display panels,100.0
12,,"Samsung (China) Semiconductor Co., Ltd. (SCS)",Manufacture of semiconductors,100.0
13,,"Samsung SemiConductor Xian Co., Ltd. (SSCX)",Sale of semiconductor and display panels,100.0
14,China,,,
15,,"Samsung Electronics Suzhou Semiconductor Co., Ltd. (SESS)",Toll processing of semiconductors,100.0
16,,"Tianjin Samsung LED Co., Ltd. (TSLED)",Manufacture of LED,100.0
17,,"Samsung Semiconductor (China) R&D Co., Ltd. (SSCR)",R&D,100.0
18,,"Samsung Display Dongguan Co., Ltd. (SDD)",Manufacture of display panels,100.0
19,,"Samsung Display Tianjin Co., Ltd. (SDT)",Manufacture of display panels,95.0
20,,"SEMES (XIAN) Co., Ltd.",Semiconductor equipment services,100.0
21,,Samsung Semiconductor Investment L.P. І,"Technology business, Venture capital investments",99.0
