,Unnamed: 0,Samsung Venture Capital Union #21,"Technology business, Venture capital investments",99.0
0,,Samsung Venture Capital Union #22,"Technology business, Venture capital investments",99.0
1,Domestic,Samsung Venture Capital Union #26,"Technology business, Venture capital investments",99.0
2,,Samsung Venture Capital Union #28,"Technology business, Venture capital investments",99.0
3,,Samsung Venture Capital Union #29,"Technology business, Venture capital investments",99.0
4,,Samsung Venture Capital Union #32,"Technology business, Venture capital investments",99.0
5,,Samsung Venture Capital Union #33,"Technology business, Venture capital investments",99.0
6,,Samsung Venture Capital Union #37,"Technology business, Venture capital investments",99.0
7,,Samsung Venture Capital Union #40,"Technology business, Venture capital investments",99.0
8,,Samsung Venture Capital Union #42,"Technology business, Venture capital investments",99.0
9,,Samsung Venture Capital Union #43,"Technology business, Venture capital investments",99.0
10,,Samsung Venture Capital Union #45,"Technology business, Venture capital investments",99.0
11,,Samsung Venture Capital Union #48,"Technology business, Venture capital investments",99.0
12,,Samsung Venture Capital Union #52,"Technology business, Venture capital investments",99.0
13,,Samsung Venture Capital Union #55,"Technology business, Venture capital investments",99.0
14,,Samsung Venture Capital Union #56,"Technology business, Venture capital investments",99.0
15,,Samsung Venture Capital Union #57,"Technology business, Venture capital investments",99.0
16,,Samsung Venture Capital Union #62,"Technology business, Venture capital investments",99.0
