,(In millions of Korean won),2023,Unnamed: 0,2022,Unnamed: 1
0,,,,,
1,Condensed financial information,,,,
2,Condensed statements of financial position:,,,,
3,Current assets,,"106,894",,"170,103"
4,Non-current assets,,"202,164",,"125,507"
5,Current liabilities,,"34,991",,"19,794"
6,Non-current liabilities,,685,,363
7,Condensed statements of comprehensive income:,,,,
8,Revenue,,"22,099",,"42,485"
9,"Profit (loss) from continuing operations, net of tax",,"(2,071)",,"3,696"
10,Other comprehensive income,,-,,-
11,Total comprehensive income,,"(2,071)",,"3,696"
