,Region,Operations,Location
0,,Suwon,Suwon
1,,Seocho,Seoul
2,,Woomyeon,Seoul
3,,Giheung,Yongin
4,,Hwaseong,Hwaseong
5,Korea,Pyeongtaek,Pyeongtaek
6,"(DX Division, DS Division,",,
7,SDC – 12 work sites),Cheonan,Cheonan
8,,Onyang,Onyang
9,,Asan,Asan
10,,Gumi1,Gumi
11,,Gumi2,Gumi
12,,Gwangju,Gwangju
13,,North America,"New Jersey, US"
14,,Europe,"Surrey, UK"
15,,China,"Beijing, China"
16,,Southeast Asia,"Singapore, Singapore"
17,Overseas,,
18,(DX Division - 9 regional,Southwest Asia,"Haryana, India"
19,headquarters),,
20,,CIS,"Moscow, Russia"
21,,Middle East,"Dubai, UAE"
22,,Africa,"Johannesburg, South Africa"
23,,Latin America,"Sao Paolo, Brazil"
24,,Americas,"San Jose, US"
25,,Europe,"Eschborn, Germany"
26,Overseas,,
27,(DS Division - 5 regional,China,"Shanghai, China"
28,headquarters),,
29,,Southeast Asia,"Singapore, Singapore"
30,,Japan,"Tokyo, Japan"
31,Harman,North America HQ,"Connecticut, US"
