,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,"Balance as of January 1, 2023",,"93,743","610,513","3,455,621","160,377,982","(214,397)","164,323,462"
1,Profit for the period,,-,-,-,"3,262,750",-,"3,262,750"
2,Gain on valuation of financial assets at fair value through,,,,,,,
3,,,-,-,-,-,"68,517","68,517"
4,"other comprehensive income, net of tax",17.0,,,,,,
5,"Remeasurement of net defined benefit liabilities (assets), net of tax",17.0,-,-,-,-,"(188,419)","(188,419)"
6,Total comprehensive income for the period,,-,-,-,"3,262,750","(119,902)","3,142,848"
7,Dividends declared,,-,-,-,"(1,924,788)",-,"(1,924,788)"
8,Total transactions with owners,,-,-,-,"(1,924,788)",-,"(1,924,788)"
9,"Balance as of March 31, 2023",,"93,743","610,513","3,455,621","161,715,944","(334,299)","165,541,522"
